Sample	Species	Location	shape
abi	C_abi	Pinta	saddlebacked
becki_1	C_becki_R	Isabela	domed
becki_2	C_becki_R	Isabela	domed
becki_3	C_becki_R	Isabela	domed
becki_4	C_becki_L	Isabela	domed
becki_5	C_becki_L	Isabela	domed
becki_6	C_becki_L	Isabela	domed
chat_1	C_chat	San_Cristobal	semi-saddlebacked
chat_2	C_chat	San_Cristobal	semi-saddlebacked
chat_3	C_chat	San_Cristobal	semi-saddlebacked
dar_1	C_dar	Santiago	semi-saddlebacked
dar_2	C_dar	Santiago	semi-saddlebacked
dar_3	C_dar	Santiago	semi-saddlebacked
don_1	C_don	Santa_Cruz	domed
don_2	C_don	Santa_Cruz	domed
don_3	C_don	Santa_Cruz	domed
dun_1	C_dun	Pinzon	saddlebacked
dun_2	C_dun	Pinzon	saddlebacked
dun_3	C_dun	Pinzon	saddlebacked
gun_1	C_gun	Isabela	domed
gun_2	C_gun	Isabela	domed
gun_3	C_gun	Isabela	domed
hoo_1	C_hoo	Espanola	saddlebacked
hoo_2	C_hoo	Espanola	saddlebacked
hoo_3	C_hoo	Espanola	saddlebacked
mic_1	C_mic	Isabela	domed
mic_2	C_mic	Isabela	domed
mic_3	C_mic	Isabela	domed
pha	C_pha	Fernandina	saddlebacked
por_1	C_por	Santa_Cruz	domed
por_2	C_por	Santa_Cruz	domed
por_3	C_por	Santa_Cruz	domed
van_1	C_van	Isabela	domed
van_2	C_van	Isabela	domed
van_3	C_van	Isabela	domed
vic_1	C_vic	Isabela	domed
vic_2	C_vic	Isabela	domed
vic_3	C_vic	Isabela	domed
